========
Segment 0, number of frames = 100, viterbi-score = -11.881226
Printing random variables from (P',C',E')=(1,98,1) modified partitions
Ptn-55 C: H0(55)=1,H1(55)=1,H2(55)=1,M0(55)=2,M1(55)=2,M2(55)=1
Ptn-56 C: H0(56)=1,H1(56)=1,H2(56)=1,M0(56)=2,M1(56)=2,M2(56)=1
Ptn-57 C: H0(57)=1,H1(57)=1,H2(57)=1,M0(57)=2,M1(57)=2,M2(57)=1
Ptn-58 C: H0(58)=1,H1(58)=1,H2(58)=1,M0(58)=2,M1(58)=2,M2(58)=1
Ptn-59 C: H0(59)=1,H1(59)=1,H2(59)=1,M0(59)=2,M1(59)=2,M2(59)=1
Ptn-60 C: H0(60)=1,H1(60)=1,H2(60)=1,M0(60)=2,M1(60)=2,M2(60)=1
Ptn-61 C: H0(61)=1,H1(61)=1,H2(61)=1,M0(61)=2,M1(61)=2,M2(61)=1
Ptn-62 C: H0(62)=1,H1(62)=1,H2(62)=1,M0(62)=2,M1(62)=2,M2(62)=1
Ptn-63 C: H0(63)=1,H1(63)=1,H2(63)=1,M0(63)=2,M1(63)=2,M2(63)=1
Ptn-64 C: H0(64)=1,H1(64)=1,H2(64)=1,M0(64)=2,M1(64)=2,M2(64)=1
Ptn-65 C: H0(65)=1,H1(65)=1,H2(65)=1,M0(65)=2,M1(65)=2,M2(65)=1
Ptn-66 C: H0(66)=1,H1(66)=1,H2(66)=1,M0(66)=2,M1(66)=2,M2(66)=1
Ptn-67 C: H0(67)=1,H1(67)=1,H2(67)=1,M0(67)=2,M1(67)=2,M2(67)=1
Ptn-68 C: H0(68)=1,H1(68)=1,H2(68)=1,M0(68)=2,M1(68)=2,M2(68)=1
Ptn-69 C: H0(69)=1,H1(69)=1,H2(69)=1,M0(69)=2,M1(69)=2,M2(69)=1
Ptn-70 C: H0(70)=1,H1(70)=1,H2(70)=1,M0(70)=2,M1(70)=2,M2(70)=1
Ptn-71 C: H0(71)=1,H1(71)=1,H2(71)=1,M0(71)=2,M1(71)=2,M2(71)=1
Ptn-72 C: H0(72)=1,H1(72)=1,H2(72)=1,M0(72)=2,M1(72)=2,M2(72)=1
